fid;cat;value;ws_id;area;precip_mn;PET_mn;AET_mn;wyield_mn;wyield_vol
18;19;6;18;1;91.41666666667;108.89916972121;83.55672722558;7.85993944108;77,60667179
61;64;162;61;1;100.00000000000;124.67500000000;90.43155312538;9.56844687462;94,58023262
64;67;40;64;1;98.00000000000;107.00791966816;86.81017029285;11.18982970715;110,4928138
106;110;174;106;1;102.83333333333;122.92500000000;91.36168930928;11.47164402405;113,3925008
33;35;18;33;1;95.83333333333;101.67333484838;83.87112021446;11.96221311887;118,1408637
56;57;116;56;1;99.08333333333;108.69375304878;85.71841165423;13.36492167910;132,0763219
36;40;22;36;1;96.75000000000;101.45333484511;82.38503882289;14.36496117711;141,8962111
15;18;148;15;1;96.66666666667;100.92666817059;82.16215749582;14.50450917085;143,38996
117;118;64;117;1;102.66666666667;104.26666959127;88.06713692347;14.59952974319;144,2656951
29;33;142;29;1;97.75000000000;101.26666817566;82.64041122794;15.10958877206;149,3454242
41;45;140;41;1;98.91666666667;100.31333482812;82.62633850177;16.29032816490;160,9992376
100;104;70;100;1;101.83333333333;98.64666813662;85.27634604772;16.55698728561;163,5566968
71;75;186;71;1;99.66666666667;99.48666814913;82.50469396512;17.16197270155;169,7010433
116;116;62;116;1;102.66666666667;98.13333479563;85.35333148638;17.31333518028;171,0805733
114;117;64;114;1;102.66666666667;98.13333479563;85.35333148638;17.31333518028;171,0811307
112;114;76;112;1;102.66666666667;98.13333479563;85.35333148638;17.31333518028;171,0811314
113;115;64;113;1;102.66666666667;98.13333479563;85.35333148638;17.31333518028;171,0816889
82;83;96;82;1;101.08333333333;99.28666814615;82.80510276059;18.27823057274;180,6540534
54;56;28;54;1;98.91666666667;91.23916511287;78.56487021844;20.35179644823;201,0651686
63;65;162;63;4;100.00000000000;99.74000148624;82.70335197449;17.29664802551;683,8859715
103;106;66;103;10;102.48333333333;103.12512763426;87.48140737166;15.00192596167;1482,117092
85;87;92;85;10;102.08333333333;95.81000087857;81.34745423992;20.73587909341;2049,588509
108;107;52;108;49;98.12938596491;104.46840195053;85.99372075838;12.13566520653;5991,065979
86;86;90;86;49;102.05000000000;95.16216737028;80.84361225228;21.20638774772;10480,2651
17;17;4;17;216;91.73028673835;106.06872070560;82.90381895988;8.82646777847;19085,65643
22;24;134;22;185;97.12903225806;107.01501175415;84.41460099095;12.71443126711;23494,55047
12;13;150;12;170;96.67732558140;102.28617430010;82.54208374763;14.13524183377;24035,1371
120;120;60;120;220;103.58333333333;100.85526511059;86.40153916988;17.18179416925;37698,17678
60;63;122;60;286;99.87831603230;100.43490653410;82.76569958858;17.11261645142;48880,5148
